,Age,Attrition,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Generation
15,29,No,Research & Development,21,4,Life Sciences,2,Female,51,4,Manufacturing Director,1,Divorced,9980,1,No,11,3,80,1,10,1,3,10,9,8,8,Millenials
16,32,No,Research & Development,5,2,Life Sciences,1,Male,80,4,Research Scientist,2,Divorced,3298,0,Yes,12,4,80,2,7,5,2,6,2,0,5,Millenials
17,22,No,Research & Development,16,2,Medical,4,Male,96,4,Laboratory Technician,4,Divorced,2935,1,Yes,13,2,80,2,1,2,2,1,0,0,0,Gen Z
18,53,No,Sales,2,4,Life Sciences,1,Female,78,2,Manager,4,Married,15427,2,No,16,3,80,0,31,3,3,25,8,3,7,Gen X
19,38,No,Research & Development,2,3,Life Sciences,4,Male,45,3,Research Scientist,4,Single,3944,5,Yes,11,3,80,0,6,3,3,3,2,1,2,Millenials
20,24,No,Research & Development,11,2,Other,1,Female,96,4,Manufacturing Director,3,Divorced,4011,0,No,18,4,80,1,5,5,2,4,2,1,3,Gen Z
21,36,Yes,Sales,9,4,Life Sciences,3,Male,82,2,Sales Representative,1,Single,3407,7,No,23,2,80,0,10,4,3,5,3,0,3,Millenials
22,34,No,Research & Development,7,4,Life Sciences,1,Female,53,3,Research Director,2,Single,11994,0,No,11,3,80,0,13,4,3,12,6,2,11,Millenials
23,21,No,Research & Development,15,2,Life Sciences,3,Male,96,3,Research Scientist,4,Single,1232,1,No,14,4,80,0,0,6,3,0,0,0,0,Gen Z
24,34,Yes,Research & Development,6,1,Medical,2,Male,83,3,Research Scientist,1,Single,2960,2,No,11,3,80,0,8,2,3,4,2,1,3,Millenials
25,53,No,Research & Development,5,3,Other,3,Female,58,3,Manager,3,Divorced,19094,4,No,11,4,80,1,26,3,2,14,13,4,8,Gen X
26,32,Yes,Research & Development,16,1,Life Sciences,2,Female,72,1,Research Scientist,1,Single,3919,1,Yes,22,2,80,0,10,5,3,10,2,6,7,Millenials
27,42,No,Sales,8,4,Marketing,3,Male,48,3,Sales Executive,2,Married,6825,0,No,11,4,80,1,10,2,3,9,7,4,2,Gen X
28,44,No,Research & Development,7,4,Medical,1,Female,42,2,Healthcare Representative,4,Married,10248,3,No,14,4,80,1,24,4,3,22,6,5,17,Gen X
29,46,No,Sales,2,4,Marketing,2,Female,83,3,Manager,1,Single,18947,3,No,12,4,80,0,22,2,2,2,2,2,1,Gen X
30,33,No,Research & Development,2,3,Medical,3,Male,78,3,Laboratory Technician,4,Single,2496,4,No,11,4,80,0,7,3,3,1,1,0,0,Millenials
31,44,No,Research & Development,10,4,Other,4,Male,41,3,Healthcare Representative,4,Married,6465,2,Yes,13,4,80,0,9,5,4,4,2,1,3,Gen X
32,30,No,Research & Development,9,2,Medical,4,Male,83,2,Laboratory Technician,3,Single,2206,1,No,13,1,80,0,10,5,3,10,0,1,8,Millenials
33,39,Yes,Sales,5,3,Technical Degree,4,Male,56,3,Sales Representative,4,Married,2086,3,No,14,3,80,1,19,6,4,1,0,0,0,Millenials
34,24,Yes,Research & Development,1,3,Medical,2,Male,61,3,Research Scientist,4,Married,2293,2,Yes,16,1,80,1,6,2,2,2,0,2,0,Gen Z
35,43,No,Research & Development,2,2,Medical,4,Female,72,4,Research Scientist,3,Divorced,2645,1,No,12,4,80,2,6,3,2,5,3,1,4,Gen X
36,50,Yes,Sales,3,2,Marketing,1,Male,86,2,Sales Representative,3,Married,2683,1,Yes,14,3,80,0,3,2,3,3,2,0,2,Gen X
37,35,No,Sales,2,3,Marketing,4,Female,97,3,Sales Representative,4,Married,2014,1,No,13,1,80,0,2,3,3,2,2,2,2,Millenials
38,36,No,Research & Development,5,4,Life Sciences,2,Female,82,2,Research Scientist,1,Married,3419,9,Yes,14,4,80,1,6,3,4,1,1,0,0,Millenials
39,33,No,Sales,1,3,Life Sciences,3,Female,42,4,Sales Executive,1,Married,5376,2,No,19,1,80,2,10,3,3,5,3,1,3,Millenials
40,35,No,Research & Development,4,2,Other,3,Male,75,3,Laboratory Technician,4,Divorced,1951,1,No,12,3,80,1,1,3,3,1,0,0,0,Millenials
41,27,No,Research & Development,2,4,Life Sciences,4,Female,33,3,Laboratory Technician,1,Divorced,2341,1,No,13,4,80,1,1,6,3,1,0,0,0,Millenials
42,26,Yes,Research & Development,25,3,Life Sciences,1,Male,48,1,Laboratory Technician,3,Single,2293,1,No,12,3,80,0,1,2,2,1,0,0,1,Millenials
43,27,No,Sales,8,3,Life Sciences,4,Male,37,3,Sales Executive,3,Single,8726,1,No,15,4,80,0,9,0,3,9,8,1,7,Millenials
44,30,No,Research & Development,1,2,Medical,3,Female,58,3,Laboratory Technician,4,Single,4011,1,No,23,4,80,0,12,2,3,12,8,3,7,Millenials
45,41,Yes,Research & Development,12,3,Technical Degree,2,Female,49,3,Research Director,3,Married,19545,1,No,12,4,80,0,23,0,3,22,15,15,8,Gen X
46,34,No,Sales,23,4,Marketing,2,Male,72,3,Sales Executive,3,Single,4568,0,No,20,3,80,0,10,2,3,9,5,8,7,Millenials
47,37,No,Research & Development,19,2,Life Sciences,2,Male,73,3,Research Scientist,2,Married,3022,4,No,21,1,80,0,8,1,3,1,0,0,0,Millenials
48,46,No,Sales,5,4,Marketing,1,Male,98,3,Sales Executive,4,Single,5772,4,Yes,21,3,80,0,14,4,3,9,6,0,8,Gen X
49,35,No,Research & Development,8,1,Life Sciences,4,Male,36,4,Laboratory Technician,4,Married,2269,1,No,19,4,80,0,1,2,3,1,0,0,1,Millenials
50,48,Yes,Research & Development,1,2,Life Sciences,1,Male,98,2,Laboratory Technician,3,Single,5381,9,Yes,13,4,80,0,23,2,3,1,0,0,0,Gen X
51,28,Yes,Research & Development,5,4,Technical Degree,3,Male,50,3,Laboratory Technician,3,Single,3441,1,Yes,13,3,80,0,2,3,2,2,2,2,2,Millenials
52,44,No,Sales,1,5,Marketing,2,Female,75,3,Sales Executive,1,Divorced,5454,5,Yes,21,3,80,1,9,2,2,4,3,1,3,Gen X
53,35,No,Research & Development,11,2,Medical,3,Male,79,2,Healthcare Representative,1,Married,9884,2,Yes,13,3,80,1,10,3,3,4,0,2,3,Millenials
54,26,No,Sales,23,3,Marketing,3,Female,47,2,Sales Executive,4,Married,4157,7,Yes,19,3,80,1,5,2,2,2,2,0,0,Millenials
55,33,No,Research & Development,1,2,Life Sciences,1,Female,98,3,Research Director,4,Single,13458,1,Yes,12,3,80,0,15,1,3,15,14,8,12,Millenials
56,35,No,Sales,18,5,Life Sciences,2,Male,71,3,Sales Executive,1,Married,9069,1,No,22,4,80,1,9,3,2,9,8,1,8,Millenials
57,35,No,Research & Development,23,4,Medical,3,Female,30,3,Laboratory Technician,1,Married,4014,3,Yes,15,3,80,1,4,3,3,2,2,2,2,Millenials
58,31,No,Research & Development,7,4,Life Sciences,4,Male,48,3,Laboratory Technician,4,Divorced,5915,3,No,22,4,80,1,10,3,2,7,7,1,7,Millenials
59,37,No,Research & Development,1,4,Life Sciences,1,Male,51,2,Manufacturing Director,3,Divorced,5993,1,No,18,3,80,1,7,2,4,7,5,0,7,Millenials
60,32,No,Research & Development,1,3,Medical,1,Male,33,3,Manufacturing Director,4,Married,6162,1,Yes,22,2,80,1,9,3,3,9,8,7,8,Millenials
61,38,No,Research & Development,29,5,Life Sciences,4,Female,50,3,Laboratory Technician,4,Single,2406,1,No,11,4,80,0,10,2,3,10,3,9,9,Millenials
62,50,No,Research & Development,7,2,Medical,2,Female,43,2,Research Director,3,Divorced,18740,5,Yes,12,4,80,1,29,2,2,27,3,13,8,Gen X
63,59,No,Sales,25,3,Life Sciences,1,Female,99,3,Sales Executive,1,Single,7637,7,No,11,4,80,0,28,3,2,21,16,7,9,Baby Boomers
64,36,No,Research & Development,8,3,Technical Degree,3,Female,59,3,Healthcare Representative,3,Divorced,10096,1,No,13,2,80,3,17,2,3,17,14,12,8,Millenials
65,55,No,Research & Development,8,3,Medical,4,Female,33,3,Manager,3,Divorced,14756,2,Yes,14,3,80,3,21,2,3,5,0,0,2,Gen X
66,36,No,Research & Development,11,3,Life Sciences,2,Male,95,2,Manufacturing Director,2,Single,6499,1,No,13,3,80,0,6,3,3,6,5,0,3,Millenials
67,45,No,Research & Development,7,3,Life Sciences,2,Male,59,3,Research Scientist,1,Divorced,9724,2,No,17,3,80,1,25,2,3,1,0,0,0,Gen X
68,35,No,Research & Development,1,3,Medical,2,Male,79,3,Research Scientist,1,Married,2194,4,No,13,4,80,1,5,2,2,3,2,1,2,Millenials
69,36,Yes,Research & Development,9,3,Medical,4,Male,79,2,Research Scientist,3,Married,3388,0,Yes,17,1,80,1,2,0,2,1,0,0,0,Millenials
70,59,No,Sales,1,1,Life Sciences,1,Female,57,2,Sales Executive,3,Single,5473,7,No,11,4,80,0,20,2,2,4,3,1,3,Baby Boomers
71,29,No,Research & Development,2,3,Life Sciences,3,Male,76,3,Research Scientist,2,Married,2703,0,No,23,4,80,1,6,3,3,5,4,0,4,Millenials
72,31,No,Research & Development,1,4,Medical,3,Male,87,3,Research Scientist,2,Single,2501,1,No,17,2,80,0,1,4,3,1,1,1,0,Millenials
73,32,No,Research & Development,1,3,Life Sciences,2,Male,66,3,Research Scientist,2,Married,6220,1,No,17,2,80,2,10,3,3,10,4,0,9,Millenials
74,36,No,Research & Development,6,3,Life Sciences,2,Female,55,4,Laboratory Technician,4,Married,3038,3,No,12,2,80,0,5,3,3,1,0,0,0,Millenials
75,31,No,Research & Development,8,4,Life Sciences,3,Female,61,3,Manufacturing Director,4,Single,4424,1,No,23,4,80,0,11,2,3,11,7,1,8,Millenials
76,35,No,Sales,1,4,Marketing,3,Male,32,2,Sales Executive,1,Single,4312,0,No,14,2,80,0,16,2,3,15,13,2,8,Millenials
77,45,No,Research & Development,6,4,Other,4,Male,52,3,Research Director,1,Married,13245,4,Yes,14,2,80,0,17,3,4,0,0,0,0,Gen X
78,37,No,Research & Development,7,4,Medical,1,Male,30,3,Research Director,3,Single,13664,4,No,13,1,80,0,16,3,4,5,2,0,2,Millenials
79,46,No,Human Resources,5,2,Medical,2,Male,80,3,Human Resources,2,Divorced,5021,8,Yes,22,4,80,1,16,2,3,4,2,0,2,Gen X
80,30,No,Research & Development,1,1,Life Sciences,4,Male,55,2,Laboratory Technician,4,Married,5126,1,Yes,12,3,80,2,10,1,2,10,8,3,0,Millenials
81,35,No,Research & Development,1,3,Medical,2,Male,30,2,Research Scientist,3,Single,2859,1,No,18,1,80,0,6,3,3,6,4,0,4,Millenials
82,55,No,Sales,1,2,Life Sciences,1,Male,70,3,Sales Executive,4,Married,10239,3,No,14,4,80,1,24,4,3,1,0,1,0,Gen X
83,38,No,Research & Development,6,3,Medical,2,Female,79,1,Research Scientist,4,Divorced,5329,7,Yes,12,4,80,3,17,3,3,13,11,1,9,Millenials
84,34,No,Research & Development,1,2,Medical,1,Male,94,3,Manufacturing Director,2,Married,4325,1,No,15,3,80,0,5,2,3,5,2,1,3,Millenials
85,56,No,Research & Development,7,3,Life Sciences,4,Male,49,1,Manufacturing Director,4,Single,7260,4,No,11,1,80,0,37,3,2,6,4,0,2,Baby Boomers
86,23,No,Sales,2,1,Technical Degree,3,Male,62,3,Sales Representative,1,Divorced,2322,3,No,13,3,80,1,3,3,3,0,0,0,0,Gen Z
87,51,No,Research & Development,9,4,Life Sciences,4,Male,96,3,Laboratory Technician,4,Married,2075,3,No,23,2,80,2,10,4,3,4,2,0,3,Gen X
88,30,No,Research & Development,2,3,Life Sciences,3,Male,99,2,Healthcare Representative,4,Married,4152,1,No,19,1,80,3,11,3,3,11,10,10,8,Millenials
89,46,Yes,Sales,9,2,Medical,3,Male,64,2,Sales Executive,4,Single,9619,1,No,16,4,80,0,9,3,3,9,8,4,7,Gen X
90,40,No,Research & Development,1,4,Life Sciences,3,Male,78,2,Healthcare Representative,2,Married,13503,1,No,22,4,80,1,22,3,2,22,3,11,11,Millenials
91,51,No,Sales,21,4,Marketing,3,Male,71,3,Sales Executive,4,Single,5441,0,Yes,22,4,80,0,11,2,1,10,7,1,0,Gen X
92,30,No,Sales,4,2,Medical,3,Female,63,2,Sales Executive,2,Divorced,5209,1,Yes,12,2,80,3,11,4,2,11,8,2,7,Millenials
93,46,No,Research & Development,1,3,Medical,3,Male,40,2,Healthcare Representative,1,Married,10673,2,Yes,13,3,80,1,21,5,2,10,9,9,5,Gen X
94,32,No,Sales,6,4,Medical,2,Male,87,3,Sales Executive,3,Single,5010,1,No,16,1,80,0,12,0,3,11,8,5,7,Millenials
95,54,No,Research & Development,2,4,Technical Degree,1,Female,60,3,Research Director,3,Married,13549,9,No,12,1,80,1,16,5,1,4,3,0,3,Gen X
96,24,No,Sales,3,2,Other,1,Female,33,3,Sales Executive,3,Married,4999,0,No,21,1,80,1,4,2,2,3,2,0,2,Gen Z
97,28,No,Sales,4,3,Medical,2,Male,43,3,Sales Executive,3,Married,4221,1,No,15,2,80,0,5,3,4,5,4,0,4,Millenials
98,58,No,Sales,10,4,Medical,4,Male,37,3,Sales Executive,3,Single,13872,0,No,13,3,80,0,38,1,2,37,10,1,8,Baby Boomers
99,44,No,Research & Development,23,3,Medical,2,Male,67,3,Laboratory Technician,2,Married,2042,4,No,12,3,80,1,17,3,4,3,2,1,2,Gen X
100,37,Yes,Human Resources,6,4,Human Resources,3,Male,63,3,Human Resources,1,Divorced,2073,4,Yes,22,4,80,0,7,3,3,3,2,0,2,Millenials
101,32,No,Research & Development,1,1,Life Sciences,4,Male,71,3,Research Scientist,1,Single,2956,1,No,13,4,80,0,1,2,3,1,0,0,0,Millenials
102,20,Yes,Research & Development,6,3,Life Sciences,4,Female,66,2,Laboratory Technician,4,Single,2926,1,Yes,18,2,80,0,1,5,3,1,0,1,0,Gen Z
103,34,No,Research & Development,6,4,Other,1,Female,41,3,Research Scientist,3,Single,4809,1,No,14,3,80,0,16,3,3,16,13,2,10,Millenials
104,37,No,Research & Development,2,2,Life Sciences,3,Male,100,2,Healthcare Representative,4,Divorced,5163,5,No,14,4,80,1,17,2,4,1,0,0,0,Millenials
105,59,No,Human Resources,2,4,Human Resources,3,Female,32,2,Manager,4,Married,18844,9,No,21,4,80,1,30,3,3,3,2,2,2,Baby Boomers
106,50,No,Research & Development,1,3,Life Sciences,1,Female,73,3,Research Director,2,Married,18172,3,Yes,19,1,80,0,28,1,2,8,3,0,7,Gen X
107,25,Yes,Sales,5,3,Marketing,3,Male,46,2,Sales Executive,3,Single,5744,1,Yes,11,4,80,0,6,1,3,6,4,0,3,Gen Z
108,25,No,Research & Development,7,1,Medical,4,Male,64,2,Research Scientist,4,Married,2889,1,No,11,3,80,2,2,2,3,2,2,2,1,Gen Z
109,22,No,Research & Development,15,3,Medical,2,Female,59,3,Laboratory Technician,4,Single,2871,1,No,15,3,80,0,1,5,3,0,0,0,0,Gen Z
110,51,No,Research & Development,1,4,Medical,1,Female,30,2,Healthcare Representative,1,Single,7484,3,No,20,3,80,0,23,1,2,13,12,12,8,Gen X
111,34,Yes,Research & Development,7,3,Life Sciences,1,Male,66,1,Laboratory Technician,3,Single,6074,1,Yes,24,4,80,0,9,3,3,9,7,0,6,Millenials
112,54,No,Human Resources,26,3,Human Resources,4,Female,30,4,Manager,4,Single,17328,2,Yes,12,3,80,0,23,3,3,5,3,4,4,Gen X
113,24,No,Research & Development,18,1,Life Sciences,2,Male,52,3,Laboratory Technician,3,Married,2774,0,No,12,3,80,1,6,2,3,5,3,1,2,Gen Z
114,34,No,Research & Development,6,4,Life Sciences,3,Female,45,2,Research Scientist,2,Divorced,4505,6,No,15,3,80,1,12,3,3,1,0,0,0,Millenials
115,37,No,Sales,3,3,Life Sciences,3,Male,87,3,Sales Executive,4,Single,7428,2,No,12,1,80,0,12,3,3,5,3,1,3,Millenials
116,34,No,Research & Development,5,3,Medical,3,Female,45,2,Manager,1,Single,11631,2,No,12,4,80,0,14,6,3,11,10,5,8,Millenials
117,36,No,Sales,11,2,Technical Degree,2,Female,92,3,Sales Executive,4,Married,9738,0,No,14,3,80,1,10,6,3,9,7,2,8,Millenials
118,36,No,Research & Development,3,2,Life Sciences,1,Female,39,3,Laboratory Technician,4,Divorced,2835,5,No,22,1,80,1,7,2,3,1,0,0,0,Millenials
119,43,No,Sales,26,2,Life Sciences,3,Male,92,3,Manager,4,Married,16959,1,Yes,12,4,80,2,25,3,4,25,12,4,12,Gen X
120,30,No,Research & Development,23,3,Life Sciences,1,Male,96,1,Research Scientist,3,Divorced,2613,1,No,25,3,80,3,10,2,2,10,7,0,9,Millenials
121,33,No,Sales,22,2,Marketing,3,Male,95,3,Sales Executive,2,Married,6146,0,No,13,1,80,1,8,2,4,7,7,0,7,Millenials
122,56,Yes,Research & Development,14,4,Life Sciences,2,Female,72,3,Research Scientist,2,Married,4963,9,Yes,18,1,80,3,7,2,3,5,4,4,3,Baby Boomers
123,51,No,Research & Development,6,3,Life Sciences,1,Male,51,3,Research Director,3,Single,19537,7,No,13,3,80,0,23,5,3,20,18,15,15,Gen X
124,31,Yes,Sales,6,4,Life Sciences,2,Male,76,1,Sales Executive,3,Married,6172,4,Yes,18,2,80,0,12,3,2,7,7,7,7,Millenials
125,26,No,Research & Development,6,3,Other,3,Female,46,2,Research Scientist,2,Married,2368,1,No,19,3,80,0,5,3,2,5,4,4,3,Millenials
126,58,Yes,Research & Development,23,4,Medical,4,Female,94,3,Healthcare Representative,4,Married,10312,1,No,12,4,80,1,40,3,2,40,10,15,6,Baby Boomers
127,19,Yes,Sales,22,1,Marketing,4,Male,50,3,Sales Representative,3,Single,1675,1,Yes,19,4,80,0,0,2,2,0,0,0,0,Gen Z
128,22,No,Research & Development,2,1,Technical Degree,3,Male,100,3,Laboratory Technician,4,Married,2523,0,No,14,3,80,1,3,2,3,2,1,2,1,Gen Z
129,49,No,Research & Development,20,4,Medical,3,Female,96,3,Manufacturing Director,1,Married,6567,1,No,14,3,80,0,16,2,2,15,11,5,11,Gen X
130,43,No,Research & Development,28,3,Medical,2,Female,72,4,Research Scientist,3,Single,4739,4,No,12,4,80,0,18,2,3,3,2,1,2,Gen X
131,50,No,Sales,12,3,Marketing,3,Female,77,3,Sales Executive,4,Single,9208,4,No,11,4,80,0,16,3,3,2,2,2,1,Gen X
132,31,Yes,Sales,20,3,Life Sciences,2,Female,71,1,Sales Executive,3,Married,4559,3,Yes,11,3,80,1,4,2,3,2,2,2,2,Millenials
133,41,No,Sales,9,1,Life Sciences,3,Male,96,3,Sales Executive,3,Divorced,8189,3,Yes,13,3,80,1,12,2,3,9,7,0,7,Gen X
134,26,No,Human Resources,25,1,Life Sciences,3,Female,61,3,Human Resources,3,Married,2942,1,No,23,4,80,1,8,3,3,8,7,5,7,Millenials
135,36,No,Research & Development,6,2,Medical,2,Male,84,3,Manufacturing Director,2,Divorced,4941,6,No,20,4,80,2,7,0,3,3,2,0,1,Millenials
136,51,Yes,Research & Development,8,4,Life Sciences,1,Male,53,1,Manufacturing Director,4,Single,10650,2,No,15,4,80,0,18,2,3,4,2,0,3,Gen X
137,39,No,Sales,4,4,Life Sciences,4,Female,47,2,Sales Executive,3,Married,5902,4,No,14,3,80,1,17,1,4,15,11,5,9,Millenials
138,25,No,Sales,28,3,Life Sciences,1,Male,41,2,Sales Executive,3,Married,8639,2,No,18,4,80,0,6,3,3,2,2,2,2,Gen Z
139,30,No,Human Resources,9,3,Human Resources,3,Male,48,3,Human Resources,4,Married,6347,0,Yes,19,4,80,0,12,2,1,11,9,4,7,Millenials
140,32,Yes,Research & Development,9,3,Medical,1,Female,41,3,Laboratory Technician,1,Single,4200,7,No,22,1,80,0,10,2,4,5,4,0,4,Millenials
141,45,No,Research & Development,29,3,Medical,3,Male,83,3,Research Scientist,4,Single,3452,5,No,13,2,80,0,9,2,2,6,5,0,3,Gen X
142,38,No,Research & Development,3,5,Technical Degree,4,Female,32,3,Research Scientist,3,Single,4317,3,Yes,20,2,80,0,19,2,3,3,2,2,2,Millenials
143,30,No,Research & Development,18,3,Life Sciences,1,Female,75,3,Research Scientist,3,Single,2632,1,No,14,3,80,0,5,4,2,5,4,0,4,Millenials
144,32,No,Sales,9,2,Medical,4,Male,35,1,Sales Executive,4,Divorced,4668,0,No,17,4,80,3,9,2,4,8,7,0,7,Millenials
145,30,No,Research & Development,5,3,Technical Degree,4,Female,84,3,Research Scientist,1,Divorced,3204,5,No,14,4,80,1,8,3,3,3,2,2,2,Millenials
146,30,No,Research & Development,2,1,Medical,2,Male,35,2,Laboratory Technician,4,Single,2720,0,No,13,4,80,0,6,3,3,5,3,1,2,Millenials
147,41,No,Research & Development,10,3,Life Sciences,4,Male,91,2,Manager,1,Divorced,17181,4,No,13,2,80,1,21,2,2,7,6,7,7,Gen X
148,41,No,Research & Development,9,4,Life Sciences,3,Male,94,3,Laboratory Technician,1,Married,2238,2,No,21,4,80,1,7,2,3,5,0,1,4,Gen X
149,19,No,Research & Development,3,1,Medical,2,Female,79,3,Laboratory Technician,2,Single,1483,1,No,14,4,80,0,1,3,3,1,0,0,0,Gen Z
150,40,No,Research & Development,26,3,Medical,2,Female,54,3,Research Scientist,2,Divorced,5605,1,No,11,1,80,1,20,2,3,20,7,2,13,Millenials
151,35,No,Sales,1,5,Marketing,3,Male,94,3,Sales Executive,2,Married,7295,1,No,13,1,80,2,10,3,3,10,8,0,6,Millenials
152,53,No,Sales,6,2,Marketing,2,Male,34,3,Sales Representative,3,Married,2306,2,Yes,20,4,80,1,13,3,1,7,7,4,5,Gen X
153,45,No,Research & Development,9,3,Life Sciences,2,Male,60,3,Laboratory Technician,2,Divorced,2348,8,No,18,3,80,1,20,2,1,17,9,0,15,Gen X
154,32,No,Sales,8,3,Marketing,2,Female,43,3,Sales Executive,4,Single,8998,1,No,14,4,80,0,9,2,3,9,8,3,7,Millenials
155,29,No,Research & Development,1,1,Technical Degree,4,Male,41,3,Manufacturing Director,3,Married,4319,1,No,13,1,80,1,10,1,3,10,7,0,9,Millenials
156,51,No,Research & Development,7,4,Medical,2,Male,34,2,Manufacturing Director,3,Married,6132,2,No,17,3,80,0,10,2,3,1,0,0,0,Gen X
157,58,No,Research & Development,9,3,Medical,2,Female,75,2,Research Scientist,2,Married,3346,4,Yes,20,2,80,1,9,3,2,1,0,0,0,Baby Boomers
158,40,No,Sales,4,4,Marketing,3,Male,67,2,Sales Executive,4,Married,10855,7,No,11,1,80,1,15,2,2,12,11,2,11,Millenials
159,34,No,Sales,2,4,Marketing,3,Female,75,3,Sales Representative,3,Married,2231,6,No,18,4,80,1,6,3,3,4,3,1,2,Millenials
160,22,No,Research & Development,19,1,Medical,3,Male,80,3,Research Scientist,4,Married,2323,1,No,24,1,80,2,2,6,3,2,2,2,2,Gen Z
161,27,No,Research & Development,9,3,Medical,4,Male,57,3,Research Scientist,2,Divorced,2024,6,No,18,4,80,1,6,1,1,2,2,2,2,Millenials
162,28,No,Research & Development,21,3,Medical,3,Male,42,3,Research Scientist,4,Married,2713,1,No,11,3,80,1,5,2,1,5,2,0,2,Millenials
163,57,No,Research & Development,24,2,Life Sciences,3,Male,83,4,Healthcare Representative,4,Divorced,9439,3,Yes,16,2,80,1,12,2,1,5,3,1,4,Baby Boomers
164,27,No,Research & Development,3,3,Medical,3,Male,79,2,Research Scientist,3,Divorced,2566,1,Yes,15,4,80,1,1,2,2,1,1,0,1,Millenials
165,50,No,Research & Development,11,3,Life Sciences,3,Female,53,3,Manager,2,Single,19926,3,No,15,2,80,0,21,5,3,5,4,4,4,Gen X
166,41,No,Research & Development,14,3,Life Sciences,1,Male,56,3,Research Scientist,3,Divorced,2451,4,No,12,1,80,1,13,2,3,9,8,1,8,Gen X
167,30,No,Sales,5,3,Life Sciences,2,Female,41,3,Sales Executive,4,Married,9419,2,No,12,3,80,1,12,2,3,10,9,7,4,Millenials
168,38,No,Sales,1,4,Life Sciences,1,Female,59,2,Sales Executive,4,Single,8686,4,No,22,3,80,0,12,2,4,8,3,0,7,Millenials
169,32,No,Research & Development,6,5,Life Sciences,3,Male,43,3,Research Scientist,3,Single,3038,3,No,20,1,80,0,8,2,3,5,4,1,4,Millenials
170,27,No,Research & Development,17,3,Technical Degree,3,Male,51,3,Research Scientist,2,Married,3058,0,Yes,16,4,80,1,6,3,2,5,2,1,1,Millenials
171,19,Yes,Sales,1,1,Technical Degree,3,Female,100,1,Sales Representative,1,Single,2325,0,No,21,1,80,0,1,5,4,0,0,0,0,Gen Z
172,36,No,Research & Development,3,2,Medical,4,Male,30,3,Laboratory Technician,2,Single,2088,4,No,12,3,80,0,13,3,2,8,7,7,2,Millenials
